week_start_date,ndvi_ne,ndvi_nw,ndvi_se,precipitation_amt_mm,reanalysis_air_temp_k,reanalysis_dew_point_temp_k,reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,station_precip_mm,total_cases
2000-07-01,0.19288570000000002,0.13225710000000002,0.3408857,25.41,296.74,295.184285714,307.3,293.1,43.19,92.4185714286,26.4,10.775,32.5,20.7,3.0,0
2000-07-08,0.2168333,0.2761,0.28945709999999997,60.61,296.63428571400004,295.358571429,306.6,291.1,46.0,93.5814285714,26.9,11.566666666700002,34.0,20.8,55.6,0
2000-07-15,0.1767571,0.1731286,0.20411429999999997,55.52,296.41571428599997,295.622857143,304.5,292.6,64.77,95.84857142860001,26.8,11.4666666667,33.0,20.7,38.1,0
2000-07-22,0.2277286,0.14542860000000002,0.2542,5.6,295.357142857,292.797142857,303.6,288.6,23.96,87.2342857143,25.7666666667,10.5333333333,31.5,14.7,30.0,0
2000-07-29,0.3286429,0.3221286,0.25437139999999997,62.76,296.432857143,293.957142857,307.0,291.5,31.8,88.1614285714,26.6,11.48,33.3,19.1,4.0,0
2000-08-05,0.2055286,0.1907571,0.2316714,16.24,297.19142857099996,291.72571428599997,306.2,288.5,1.0,74.72857142859999,25.34,10.94,32.0,17.0,11.5,0
2000-08-12,0.3124857,0.3299857,0.38058569999999997,89.37,297.32,293.821428571,308.8,292.1,26.68,83.27571428569999,27.0166666667,11.65,34.0,19.9,72.9,0
2000-08-19,0.3841333,0.39224000000000003,0.34178000000000003,42.08,297.627142857,293.992857143,307.9,290.6,16.9,82.49,26.5833333333,10.3166666667,33.0,20.5,50.1,0
2000-08-26,0.4081571,0.3221571,0.40671430000000003,49.22,298.238571429,292.904285714,310.1,291.3,5.59,74.74,26.9,13.4,34.0,19.0,89.2,0
2000-09-02,0.33204290000000003,0.3210571,0.3146143,53.65,299.218571429,293.472857143,310.5,292.9,16.07,74.1514285714,27.116666666700002,12.2666666667,34.0,20.0,78.0,0
2000-09-09,0.2955857,0.2956833,0.3122143,23.12,300.802857143,290.635714286,312.8,291.5,2.5,57.7871428571,28.366666666700002,12.9,35.8,21.7,56.9,1
2000-09-16,0.2846571,0.3097571,0.3878833,34.62,299.858571429,293.64,310.7,292.3,4.1,71.66,27.425,12.775,34.5,20.5,18.9,0
2000-09-23,0.3488143,0.2957167,0.4048429,97.55,297.435714286,292.707142857,310.2,288.3,3.2,77.4871428571,27.5333333333,12.566666666700002,36.0,20.5,104.2,0
2000-09-30,0.17568570000000003,0.09948333,0.2257143,95.89,299.35571428599997,293.217142857,310.8,290.0,2.6,71.4628571429,27.15,12.175,34.0,20.5,57.9,0
