week_start_date,ndvi_ne,ndvi_nw,ndvi_se,precipitation_amt_mm,reanalysis_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_tdtr_k,station_diur_temp_rng_c,station_max_temp_c,station_precip_mm,total_cases
1990-04-30,0.1226,0.103725,0.19848329999999997,12.42,297.57285714299996,32.0,73.3657142857,2.62857142857,6.9,29.4,16.0,4
1990-05-07,0.1699,0.142175,0.1623571,22.82,298.211428571,17.94,77.36857142859999,2.37142857143,6.37142857143,31.7,8.6,5
1990-05-14,0.03225,0.1729667,0.1572,34.54,298.781428571,26.1,82.0528571429,2.3,6.485714285709999,32.2,41.4,4
1990-05-21,0.1286333,0.2450667,0.22755709999999998,15.36,298.987142857,13.9,80.3371428571,2.4285714285699997,6.77142857143,33.3,4.0,3
1990-05-28,0.1962,0.2622,0.2512,7.52,299.518571429,12.2,80.46,3.01428571429,9.37142857143,35.0,5.8,6
1990-06-04,0.15455000000000002,0.17485,0.2543143,9.58,299.63,26.49,79.8914285714,2.1,6.94285714286,34.4,39.1,2
1990-06-11,0.1129,0.0928,0.2050714,3.48,299.207142857,38.6,82.0,2.04285714286,6.77142857143,32.2,29.7,4
1990-06-18,0.0725,0.0725,0.1514714,151.12,299.591428571,30.0,83.3757142857,1.57142857143,7.685714285710001,33.9,21.1,5
1990-06-25,0.10245,0.146175,0.1255714,19.32,299.578571429,37.51,82.7685714286,1.8857142857099998,7.385714285710001,33.9,21.1,10
1990-07-02,0.1476625,0.12155,0.16068329999999997,14.41,300.154285714,28.4,81.2814285714,2.01428571429,6.514285714290001,33.9,1.1,6
1990-07-09,0.192875,0.08235,0.1919429,22.27,299.512857143,43.72,81.4671428571,2.15714285714,7.15714285714,31.7,63.7,8
1990-07-16,0.2916,0.2118,0.3012,59.17,299.667142857,40.9,82.1442857143,2.41428571429,6.9,32.8,12.2,2
1990-07-23,0.15056670000000003,0.1717,0.2269,16.48,299.55857142900004,42.53,80.7428571429,2.0714285714300003,6.3571428571399995,31.7,32.6,6
1990-07-30,0.16048335000000002,0.24715,0.3797,32.66,299.862857143,34.6,80.58428571430001,2.58571428571,8.08571428571,34.4,37.6,17
1990-08-06,0.1704,0.06433333,0.16444289999999998,28.8,300.391428571,20.0,79.65,2.32857142857,7.55714285714,33.3,11.4,23
1990-08-13,0.18031665,0.12803330000000002,0.2069571,90.75,299.958571429,101.9,84.1785714286,1.8571428571400002,6.68571428571,32.8,44.7,13
1990-08-20,0.1902333,0.1688,0.1676571,32.4,300.332857143,25.9,80.9471428571,2.48571428571,7.014285714289999,33.3,5.4,21
1990-08-27,0.2529,0.33075,0.26417140000000006,40.94,300.11857142900004,39.8,83.3485714286,1.9,6.52857142857,32.2,13.7,28
1990-09-03,0.2354,0.200025,0.2838167,28.86,300.53,30.4,77.1728571429,3.47142857143,7.614285714289999,32.8,14.2,24
1990-09-10,0.1279667,0.4371,0.1234,64.56,300.674285714,24.18,81.55142857140001,2.9,8.05714285714,33.9,25.9,20
1990-09-17,0.19635,0.1824333,0.2548286,143.73,299.857142857,36.6,81.6371428571,1.74285714286,8.114285714289998,32.8,3.3,40
1990-09-24,0.1161,0.2609,0.19944289999999998,51.39,300.42714285700004,16.4,77.0485714286,2.2571428571400003,7.72857142857,32.8,15.8,27
1990-10-01,0.22855,0.18975,0.2124857,31.18,300.775714286,36.1,78.52,2.9,8.02857142857,33.3,11.7,42
1990-10-08,0.17115,0.06755,0.1794667,51.42,299.857142857,132.4,84.11,2.5714285714300003,7.314285714289999,33.3,57.7,33
1990-10-15,0.15867499999999998,0.0702,0.18161670000000002,143.55,299.195714286,279.6,85.6214285714,1.87142857143,7.4,32.8,61.8,43
1990-10-22,0.1462,0.08975,0.12882860000000002,127.03,298.902857143,94.52,85.5028571429,1.8,7.62857142857,32.2,91.5,37
1990-10-29,0.25225,0.1834333,0.318,101.35,299.727142857,22.26,82.7871428571,1.78571428571,8.64285714286,33.3,6.3,57
1990-11-05,0.1526,0.181775,0.1783286,20.46,299.972857143,14.4,81.7157142857,2.3857142857099998,8.42857142857,33.3,6.6,71
1990-11-12,0.2908,0.2246,0.1803857,20.0,300.35,7.1,75.72857142859999,2.2,8.6,32.8,38.9,44
1990-11-19,0.2722,0.33035,0.13163329999999998,20.04,299.511428571,36.7,78.1514285714,2.52857142857,7.414285714289999,31.7,9.6,56
1990-11-26,0.13676670000000002,0.216525,0.17678570000000002,33.61,298.238571429,44.3,81.38571428569999,1.9857142857099999,7.12857142857,31.1,26.7,53
1990-12-03,0.1098,0.0886,0.2667833,9.96,298.542857143,71.8,79.9085714286,2.05714285714,5.54285714286,29.4,69.0,52
1990-12-10,0.12135,0.26166,0.19138570000000002,0.0,298.202857143,4.1,68.7228571429,2.98571428571,7.77142857143,29.4,2.8,47
1990-12-17,0.2931333,0.2668667,0.2608571,52.45,298.297142857,32.31,80.0828571429,2.87142857143,6.58571428571,30.6,19.8,26
1990-12-24,0.3025,0.2772333,0.17126670000000002,0.0,298.038571429,5.46,69.6814285714,2.2857142857099997,5.84285714286,28.9,20.9,27
1991-01-01,0.1465,0.14046670000000003,0.1515,0.0,297.06,4.8,72.9385714286,2.52857142857,7.45714285714,29.4,5.3,21
1991-01-08,0.20809999999999998,0.10046669999999999,0.2519,15.85,297.674285714,26.33,76.6285714286,1.8857142857099998,6.31428571429,28.3,31.7,21
