week_start_date,ndvi_ne,ndvi_nw,ndvi_se,precipitation_amt_mm,reanalysis_air_temp_k,reanalysis_dew_point_temp_k,reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,station_precip_mm
2010-07-02,0.18378329999999998,0.1425,0.2251286,82.29,297.648571429,296.11857142900004,307.9,293.7,34.11,92.5814285714,27.44,10.76,33.8,21.5,11.2
2010-07-09,0.2916571,0.2722667,0.3307,25.3,298.224285714,294.831428571,307.7,292.2,9.1,83.88571428569999,27.025,9.625,33.0,21.2,8.9
2010-07-16,0.2085429,0.3664571,0.2126286,62.14,297.955714286,296.417142857,306.4,292.5,61.09,92.05714285709999,26.95,10.35,33.4,21.6,22.6
2010-07-23,0.08928571,0.06321429,0.12205710000000002,47.8,295.715714286,293.638571429,306.4,289.3,19.6,88.97,26.9,9.7,33.3,14.2,4.8
2010-07-30,0.3061,0.3276833,0.2500857,56.3,298.50285714299997,293.892857143,308.1,290.5,18.93,78.61,27.05,11.85,33.5,16.9,3.0
2010-08-06,0.34202,0.3048571,0.3323571,16.95,298.611428571,295.065714286,309.7,293.4,32.92,83.2742857143,27.7,12.6,34.0,20.0,92.2
2010-08-13,0.3322167,0.3848167,0.3566,9.88,298.305714286,292.085714286,309.3,292.2,10.5,72.4714285714,26.4333333333,12.0333333333,34.2,18.5,0.0
2010-08-20,0.2218143,0.2241,0.2730857,15.76,298.724285714,294.812857143,309.2,293.2,20.3,81.5571428571,27.275,11.375,34.0,21.0,20.3
2010-08-27,0.3190429,0.3158714,0.3267,7.82,299.914285714,292.69142857099996,311.1,292.3,14.21,68.6157142857,27.4,13.1,34.7,20.0,13.7
2010-09-03,0.3420143,0.30192859999999994,0.3147,59.06,300.224285714,295.2,310.6,294.1,41.1,77.2028571429,28.175,13.2,36.2,21.0,8.5
2010-09-10,0.11658330000000001,0.1002833,0.14068329999999998,37.9,298.50142857099996,295.641428571,309.0,292.8,50.0,85.69142857140001,27.1,11.166666666700001,35.4,21.0,15.0
2010-09-17,0.25916669999999997,0.26732,0.2123286,16.86,299.948571429,294.56,311.8,293.7,17.7,75.27,28.225,13.175,35.2,21.0,4.1
2010-09-24,0.3062143,0.2635857,0.3215429,46.96,298.70428571400004,295.687142857,309.2,293.7,156.0,85.72,28.866666666700002,13.066666666700002,36.2,19.1,26.9
2010-10-01,0.3867857,0.3726286,0.3796143,28.63,300.064285714,294.244285714,311.5,293.3,13.16,73.5128571429,28.4,12.666666666700001,35.8,21.2,1.5
2010-10-08,0.30415,0.3368667,0.25388330000000003,26.29,301.935714286,294.082857143,314.1,294.8,249.4,66.31,29.08,14.38,38.4,20.5,14.1
2010-10-15,0.3290429,0.2942714,0.3070286,33.49,299.8,295.312857143,310.7,293.5,28.5,79.7628571429,28.65,12.5,35.7,19.8,25.9
2010-10-22,0.2441286,0.19288329999999998,0.2322286,34.93,298.857142857,296.178571429,311.4,293.8,141.6,87.75285714290001,27.8,13.5,35.0,19.8,8.1
2010-10-29,0.2396,0.2375286,0.1940714,47.9,299.341428571,296.84,309.6,294.5,75.1,87.80285714290001,29.133333333299998,11.8666666667,36.0,21.2,4.0
2010-11-05,0.28402859999999996,0.3218429,0.2682429,47.11,299.597142857,297.718571429,310.4,296.0,85.3,90.64,28.48,13.3,36.0,21.2,46.0
2010-11-12,0.3561857,0.3933286,0.2812,65.8,299.57285714299996,296.244285714,311.7,291.9,229.6,84.38571428569999,28.8,14.725,37.4,20.0,35.8
