week_start_date,ndvi_ne,ndvi_nw,ndvi_se,precipitation_amt_mm,reanalysis_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_tdtr_k,station_diur_temp_rng_c,station_max_temp_c,station_precip_mm
2008-04-29,-0.0189,-0.0189,0.1027286,78.6,298.492857143,25.37,78.7814285714,3.12857142857,7.05714285714,33.3,75.2
2008-05-06,-0.018000000000000002,-0.0124,0.08204286,12.56,298.47571428599997,21.83,78.23,2.5714285714300003,5.55714285714,30.0,34.3
2008-05-13,-0.0015,-0.016133335,0.15108329999999998,3.66,299.455714286,4.12,78.27,4.42857142857,7.785714285710001,32.8,3.0
2008-05-20,0.02765,-0.01986667,0.12432860000000001,0.0,299.69,2.2,73.0157142857,4.34285714286,6.27142857143,33.3,0.3
2008-05-27,0.0568,0.03983333,0.06226667,0.76,299.78,4.36,74.08428571430001,3.54285714286,7.085714285710001,33.3,84.1
2008-06-03,-0.044000000000000004,-0.03046667,0.132,71.17,299.768571429,22.55,76.5571428571,2.85714285714,5.17142857143,32.8,27.7
2008-06-10,-0.0443,-0.024925,0.13227139999999998,48.99,300.062857143,13.1,76.8442857143,3.1571428571399998,6.04285714286,31.1,91.7
2008-06-17,-0.01675,0.08215,0.14437139999999998,30.81,300.484285714,7.2,76.87,3.9,6.985714285710001,34.4,0.3
2008-06-24,0.0108,0.0499,0.10057139999999999,8.02,300.601428571,17.1,77.3957142857,2.7857142857099997,6.24285714286,32.8,28.7
2008-07-01,0.07266667,0.10665999999999999,0.1554286,17.52,300.49714285700003,11.9,78.5342857143,2.22857142857,4.62857142857,31.1,2.9
2008-07-08,-0.04645,0.006825,0.2602857,16.37,300.214285714,19.86,77.02142857140001,2.02857142857,5.91428571429,31.1,22.1
2008-07-15,0.08092500000000002,0.21816249999999998,0.1958429,4.34,300.448571429,5.49,77.6157142857,2.6142857142900002,5.014285714290001,31.7,0.0
2008-07-22,0.2083,0.4295,0.2776833,3.39,300.598571429,13.62,78.56,2.58571428571,6.31428571429,32.8,7.1
2008-07-29,0.0002,0.0039,0.10906669999999999,13.73,300.73,8.7,76.52142857140001,2.8,6.17142857143,32.8,5.1
2008-08-05,0.1122,0.0322,0.19418570000000002,50.94,300.741428571,43.5,80.3714285714,2.4285714285699997,5.8571428571399995,32.2,37.6
2008-08-12,0.200675,0.13661665,0.0589,4.28,301.15,7.82,77.9685714286,2.74285714286,6.34285714286,33.9,1.8
2008-08-19,0.28915,0.2410333,0.2406,31.97,300.73571428599996,65.9,79.5471428571,2.54285714286,5.32857142857,32.2,54.9
2008-08-26,0.1132,0.12916665,0.22608330000000001,19.67,301.022857143,31.6,79.86428571430001,2.7,5.47142857143,32.2,16.2
2008-09-02,0.23754999999999998,0.0173,0.19041670000000002,60.56,301.22571428599997,50.0,80.0242857143,3.37142857143,6.41428571429,35.0,6.9
2008-09-09,0.3619,0.649,0.1464,126.68,300.804285714,58.4,81.3242857143,2.98571428571,6.42857142857,34.4,45.1
2008-09-16,0.091375,0.16405,0.25166669999999997,48.44,300.757142857,28.1,80.44857142859999,3.1142857142900002,6.27142857143,32.8,20.4
2008-09-23,0.0795,0.103675,0.2826857,153.79,300.37857142900003,136.91,79.8614285714,2.8142857142900004,5.8571428571399995,32.2,146.3
2008-09-30,-0.13735,0.13095,0.2718857,54.96,300.564285714,37.5,80.42,3.0571428571399997,7.05714285714,34.4,37.1
2008-10-07,0.1306,0.0897,0.18608570000000002,6.16,300.715714286,21.1,76.3614285714,2.91428571429,5.94285714286,31.7,8.5
2008-10-14,0.1834,0.11755,0.1524571,60.42,300.234285714,40.4,78.6585714286,3.12857142857,6.2,32.8,73.0
2008-10-21,0.03325,0.07486667,0.3363143,91.7,299.734285714,22.7,79.4928571429,2.52857142857,5.32857142857,31.7,16.5
2008-10-28,0.0834,0.0757,0.07362857,0.0,300.352857143,9.9,74.5057142857,2.5714285714300003,5.74285714286,31.1,6.4
2008-11-04,-0.0944,-0.00495,0.1438,12.23,300.077142857,58.03,80.61857142859999,2.6,5.75714285714,31.1,36.6
2008-11-11,0.1011,0.07400000000000001,0.2376,12.64,300.137142857,19.6,77.6342857143,3.3,5.92857142857,30.6,6.4
